prefix,country,market_id
446,US,OH_CLE
447,US,OH_CLE
448,US,OH_CLE
449,US,OH_CLE
430,US,OH_COL
431,US,OH_COL
432,US,OH_COL
433,US,OH_COL
437,US,OH_COL
438,US,OH_COL
453,US,OH_COL
454,US,OH_COL
455,US,OH_COL
434,US,OH_TOL
435,US,OH_TOL
436,US,OH_TOL
458,US,OH_TOL
730,US,OK_OKC
731,US,OK_OKC
734,US,OK_OKC
735,US,OK_OKC
736,US,OK_OKC
737,US,OK_OKC
738,US,OK_OKC
745,US,OK_OKC
747,US,OK_OKC
748,US,OK_OKC
740,US,OK_TUL
741,US,OK_TUL
743,US,OK_TUL
744,US,OK_TUL
746,US,OK_TUL
955,US,OR_MED
960,US,OR_MED
974,US,OR_MED
975,US,OR_MED
976,US,OR_MED
977,US,OR_MED
978,US,OR_PEN
989,US,OR_PEN
993,US,OR_PEN
970,US,OR_POR
971,US,OR_POR
972,US,OR_POR
973,US,OR_POR
986,US,OR_POR
180,US,PA_ALL
181,US,PA_ALL
182,US,PA_ALL
183,US,PA_ALL
184,US,PA_ALL
185,US,PA_ALL
186,US,PA_ALL
187,US,PA_ALL
189,US,PA_ALL
163,US,PA_ERI
164,US,PA_ERI
165,US,PA_ERI
167,US,PA_ERI
166,US,PA_HAR
168,US,PA_HAR
170,US,PA_HAR
171,US,PA_HAR
172,US,PA_HAR
173,US,PA_HAR
174,US,PA_HAR
175,US,PA_HAR
176,US,PA_HAR
177,US,PA_HAR
178,US,PA_HAR
179,US,PA_HAR
080,US,PA_PHI
081,US,PA_PHI
082,US,PA_PHI
083,US,PA_PHI
084,US,PA_PHI
190,US,PA_PHI
191,US,PA_PHI
192,US,PA_PHI
193,US,PA_PHI
194,US,PA_PHI
195,US,PA_PHI
196,US,PA_PHI
150,US,PA_PIT
151,US,PA_PIT
152,US,PA_PIT
153,US,PA_PIT
154,US,PA_PIT
155,US,PA_PIT
156,US,PA_PIT
157,US,PA_PIT
158,US,PA_PIT
159,US,PA_PIT
160,US,PA_PIT
161,US,PA_PIT
162,US,PA_PIT
260,US,PA_PIT
265,US,PA_PIT
439,US,PA_PIT
294,US,SC_CHA
290,US,SC_COL
291,US,SC_COL
292,US,SC_COL
295,US,SC_COL
287,US,SC_GRE
288,US,SC_GRE
293,US,SC_GRE
296,US,SC_GRE
298,US,SC_GRE
308,US,SC_GRE
309,US,SC_GRE
575,US,SD_RAP
576,US,SD_RAP
577,US,SD_RAP
827,US,SD_RAP
826,US,SD_RAP
510,US,SD_SXF
511,US,SD_SXF
512,US,SD_SXF
513,US,SD_SXF
561,US,SD_SXF
562,US,SD_SXF
570,US,SD_SXF
571,US,SD_SXF
572,US,SD_SXF
573,US,SD_SXF
574,US,SD_SXF
289,US,TN_CHA
307,US,TN_CHA
359,US,TN_CHA
373,US,TN_CHA
374,US,TN_CHA
242,US,TN_KNO
376,US,TN_KNO
377,US,TN_KNO
378,US,TN_KNO
379,US,TN_KNO
407,US,TN_KNO
408,US,TN_KNO
409,US,TN_KNO
425,US,TN_KNO
426,US,TN_KNO
375,US,TN_MEM
380,US,TN_MEM
381,US,TN_MEM
382,US,TN_MEM
383,US,TN_MEM
386,US,TN_MEM
723,US,TN_MEM
724,US,TN_MEM
370,US,TN_NAS
371,US,TN_NAS
372,US,TN_NAS
385,US,TN_NAS
739,US,TX_AMA
790,US,TX_AMA
791,US,TX_AMA
733,US,TX_AUS
765,US,TX_AUS
768,US,TX_AUS
786,US,TX_AUS
787,US,TX_AUS
789,US,TX_AUS
750,US,TX_DAL
751,US,TX_DAL
752,US,TX_DAL
753,US,TX_DAL
754,US,TX_DAL
757,US,TX_DAL
758,US,TX_DAL
798,US,TX_ELP
799,US,TX_ELP
880,US,TX_ELP
885,US,TX_ELP
760,US,TX_FTW
761,US,TX_FTW
762,US,TX_FTW
763,US,TX_FTW
764,US,TX_FTW
766,US,TX_FTW
767,US,TX_FTW
770,US,TX_HOU
772,US,TX_HOU
773,US,TX_HOU
774,US,TX_HOU
775,US,TX_HOU
